team_name;player_name;position;status;match_date;opponent;match_id;competition;shirt_number;source
Real Madrid;Alvaro Arbeloa;;Coach;2026-02-17;SL Benfica;736981;UEFA Champions League;;APIFootball
Real Madrid;Thibaut Courtois;1;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;1;APIFootball
Real Madrid;Trent Alexander-Arnold;2;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;12;APIFootball
Real Madrid;Antonio Rüdiger;3;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;22;APIFootball
Real Madrid;Dean Huijsen;4;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;24;APIFootball
Real Madrid;Álvaro Carreras;5;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;18;APIFootball
Real Madrid;Federico Valverde;6;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;8;APIFootball
Real Madrid;Arda Güler;7;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;15;APIFootball
Real Madrid;Aurélien Tchouaméni;8;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;14;APIFootball
Real Madrid;Eduardo Camavinga;9;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;6;APIFootball
Real Madrid;Kylian Mbappé;10;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;10;APIFootball
Real Madrid;Vinícius Júnior;11;Starting XI;2026-02-17;SL Benfica;736981;UEFA Champions League;7;APIFootball
Real Madrid;Brahim Díaz;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;21;APIFootball
Real Madrid;Daniel Carvajal;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;2;APIFootball
Real Madrid;Thiago Pitarch;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;45;APIFootball
Real Madrid;Andriy Lunin;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;13;APIFootball
Real Madrid;David Alaba;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;4;APIFootball
Real Madrid;Joan Martínez;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;36;APIFootball
Real Madrid;Ferland Mendy;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;23;APIFootball
Real Madrid;Fran García;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;20;APIFootball
Real Madrid;Franco Mastantuono;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;30;APIFootball
Real Madrid;Jorge Cestero;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;28;APIFootball
Real Madrid;Dani Ceballos;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;19;APIFootball
Real Madrid;Gonzalo García;0;Substitute;2026-02-17;SL Benfica;736981;UEFA Champions League;16;APIFootball
Paris Saint-Germain;Enrique Luis;;Coach;2026-02-17;AS Monaco;736983;UEFA Champions League;;APIFootball
Paris Saint-Germain;Matvey Safonov;1;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;39;APIFootball
Paris Saint-Germain;Achraf Hakimi;2;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;2;APIFootball
Paris Saint-Germain;Marquinhos;3;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;5;APIFootball
Paris Saint-Germain;Willian Pacho;4;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;51;APIFootball
Paris Saint-Germain;Nuno Mendes;5;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;25;APIFootball
Paris Saint-Germain;Warren Zaïre-Emery;6;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;33;APIFootball
Paris Saint-Germain;Vitinha;7;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;17;APIFootball
Paris Saint-Germain;João Neves;8;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;87;APIFootball
Paris Saint-Germain;Khvicha Kvaratskhelia;9;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;7;APIFootball
Paris Saint-Germain;Ousmane Dembélé;10;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;10;APIFootball
Paris Saint-Germain;Bradley Barcola;11;Starting XI;2026-02-17;AS Monaco;736983;UEFA Champions League;29;APIFootball
Paris Saint-Germain;Désiré Doué;0;Substitute;2026-02-17;AS Monaco;736983;UEFA Champions League;14;APIFootball
Paris Saint-Germain;Kang-in Lee;0;Substitute;2026-02-17;AS Monaco;736983;UEFA Champions League;19;APIFootball
